x,newlib,openlibm,mpfr64,mpfr128,crlibm,libmcr,
-1.884956e+00,0.000000e+00,0.000000e+00,4.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
-1.822124e+00,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
-1.759292e+00,1.000000e+00,1.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
-1.696460e+00,1.000000e+00,1.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
-1.633628e+00,0.000000e+00,0.000000e+00,3.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
-1.570796e+00,0.000000e+00,0.000000e+00,1.300000e+01,1.300000e+01,0.000000e+00,0.000000e+00,
-1.507964e+00,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,1.000000e+00,1.000000e+00,
-1.445133e+00,0.000000e+00,0.000000e+00,5.000000e+00,6.000000e+00,1.000000e+00,1.000000e+00,
-1.382301e+00,0.000000e+00,0.000000e+00,3.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
-1.319469e+00,1.000000e+00,1.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
-1.256637e+00,0.000000e+00,1.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
-1.193805e+00,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
-1.130973e+00,0.000000e+00,0.000000e+00,5.000000e+00,5.000000e+00,0.000000e+00,0.000000e+00,
-1.068142e+00,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
-1.005310e+00,0.000000e+00,0.000000e+00,3.000000e+00,4.000000e+00,1.000000e+00,1.000000e+00,
-9.424778e-01,1.000000e+00,0.000000e+00,1.100000e+01,3.000000e+00,0.000000e+00,1.000000e+00,
-8.796459e-01,1.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
-8.168141e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
-7.539822e-01,1.000000e+00,1.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
-6.911504e-01,0.000000e+00,1.000000e+00,3.000000e+00,3.000000e+00,1.000000e+00,0.000000e+00,
-6.283185e-01,1.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,1.000000e+00,1.000000e+00,
-5.654867e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
-5.026548e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
-4.398230e-01,0.000000e+00,0.000000e+00,5.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
-3.769911e-01,1.000000e+00,0.000000e+00,5.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
-3.141593e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,1.000000e+00,0.000000e+00,
-2.513274e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
-1.884956e-01,1.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
-1.256637e-01,0.000000e+00,0.000000e+00,3.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,
-6.283185e-02,0.000000e+00,1.000000e+00,2.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
4.440892e-16,0.000000e+00,0.000000e+00,2.000000e+00,2.000000e+00,0.000000e+00,0.000000e+00,
6.283185e-02,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
1.256637e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
1.884956e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
2.513274e-01,1.000000e+00,1.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
3.141593e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
3.769911e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
4.398230e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
5.026548e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,1.000000e+00,0.000000e+00,
5.654867e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
6.283185e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
6.911504e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
7.539822e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
8.168141e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
8.796459e-01,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,1.000000e+00,0.000000e+00,
9.424778e-01,0.000000e+00,1.000000e+00,3.000000e+00,3.000000e+00,1.000000e+00,0.000000e+00,
1.005310e+00,0.000000e+00,1.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
1.068142e+00,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
1.130973e+00,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
1.193805e+00,1.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
1.256637e+00,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
1.319469e+00,1.000000e+00,0.000000e+00,3.000000e+00,2.000000e+00,0.000000e+00,1.000000e+00,
1.382301e+00,1.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
1.445133e+00,0.000000e+00,0.000000e+00,3.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
1.507964e+00,0.000000e+00,1.000000e+00,4.000000e+00,1.000000e+01,0.000000e+00,0.000000e+00,
1.570796e+00,0.000000e+00,1.000000e+00,1.200000e+01,1.200000e+01,0.000000e+00,0.000000e+00,
1.633628e+00,1.000000e+00,0.000000e+00,4.000000e+00,3.000000e+00,1.000000e+00,0.000000e+00,
1.696460e+00,0.000000e+00,0.000000e+00,4.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
1.759292e+00,1.000000e+00,0.000000e+00,5.000000e+00,5.000000e+00,0.000000e+00,1.000000e+00,
1.822124e+00,0.000000e+00,0.000000e+00,3.000000e+00,3.000000e+00,0.000000e+00,1.000000e+00,
1.884956e+00,1.000000e+00,0.000000e+00,4.000000e+00,3.000000e+00,0.000000e+00,0.000000e+00,
1.947787e+00,0.000000e+00,0.000000e+00,5.000000e+00,5.000000e+00,1.000000e+00,0.000000e+00,
2.010619e+00,1.000000e+00,0.000000e+00,7.000000e+00,8.000000e+00,1.000000e+00,0.000000e+00,
2.073451e+00,1.000000e+00,1.000000e+00,5.000000e+00,6.000000e+00,0.000000e+00,0.000000e+00,
2.136283e+00,0.000000e+00,0.000000e+00,5.000000e+00,5.000000e+00,0.000000e+00,1.000000e+00,
2.199115e+00,0.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
2.261947e+00,0.000000e+00,0.000000e+00,5.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
2.324779e+00,0.000000e+00,1.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
2.387610e+00,1.000000e+00,1.000000e+00,4.000000e+00,5.000000e+00,0.000000e+00,1.000000e+00,
2.450442e+00,1.000000e+00,0.000000e+00,5.000000e+00,1.700000e+01,1.000000e+00,1.000000e+00,
2.513274e+00,1.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
2.576106e+00,0.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
2.638938e+00,0.000000e+00,0.000000e+00,4.000000e+00,5.000000e+00,0.000000e+00,0.000000e+00,
2.701770e+00,0.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
2.764602e+00,0.000000e+00,0.000000e+00,7.000000e+00,7.000000e+00,0.000000e+00,1.000000e+00,
2.827433e+00,0.000000e+00,1.000000e+00,7.000000e+00,7.000000e+00,0.000000e+00,1.000000e+00,
2.890265e+00,0.000000e+00,1.000000e+00,4.000000e+00,5.000000e+00,0.000000e+00,1.000000e+00,
2.953097e+00,0.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,0.000000e+00,
3.015929e+00,1.000000e+00,0.000000e+00,4.000000e+00,5.000000e+00,0.000000e+00,1.000000e+00,
3.078761e+00,0.000000e+00,0.000000e+00,4.000000e+00,4.000000e+00,0.000000e+00,1.000000e+00,
3.141593e+00,1.000000e+00,1.000000e+00,1.600000e+01,1.600000e+01,1.000000e+00,1.000000e+00,
