x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
6.100000e-01,9213398698649556626,9213398698649556626,5491823119394309,9213398698649556627,9213398698649556627,5491823119394309,5491823119394309,5491823119394309,
6.200000e-01,9213179006022339628,9213179006022339628,5436899962590057,9213179006022339629,9213179006022339629,5436899962590057,5436899962590057,5436899962590057,
6.300000e-01,9212962828628362728,9212962828628362728,5382855614095833,9212962828628362729,9212962828628362729,5382855614095833,5382855614095833,5382855614095833,
6.400000e-01,9212750055744642499,9212750055744642499,5329662393165777,9212750055744642500,9212750055744642500,5329662393165777,5329662393165777,5329662393165777,
6.500000e-01,9212540581798524332,9212540581798524332,5277293906636235,9212540581798524332,9212540581798524332,5277293906636235,5277293906636235,5277293906636235,
6.600000e-01,9212334306053127007,9212334306053127007,5225724970286904,9212334306053127007,9212334306053127007,5225724970286904,5225724970286904,5225724970286904,
6.700000e-01,9212131132316440843,9212131132316440843,5174931536115363,9212131132316440844,9212131132316440844,5174931536115363,5174931536115363,5174931536115363,
6.800000e-01,9211930968671976580,9211930968671976580,5124890624999297,9211930968671976580,9211930968671976580,5124890624999297,5124890624999297,5124890624999297,
6.900000e-01,9211733727229077100,9211733727229077100,5075580264274427,9211733727229077101,9211733727229077101,5075580264274427,5075580264274427,5075580264274427,
7.000000e-01,9211539323891194277,9211539323891194277,5026979429803721,9211539323891194278,9211539323891194278,5026979429803721,5026979429803721,5026979429803721,
7.100000e-01,9211347678140601794,9211347678140601794,4979067992155601,9211347678140601794,9211347678140601794,4979067992155601,4979067992155601,4979067992155601,
7.200000e-01,9211158712838164539,9211158712838164539,4931826666546285,9211158712838164539,9211158712838164539,4931826666546285,4931826666546285,4931826666546285,
7.300000e-01,9210972354036918370,9210972354036918370,4885236966234745,9210972354036918371,9210972354036918371,4885236966234745,4885236966234745,4885236966234745,
