x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,
0.000000e+00,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,not_finite,
7.400000e-01,9198597264209624285,9198597264209624285,6379270356339237,9198597264209624285,9198597264209624285,6379270356339237,6379270356339237,
7.500000e-01,9198437533379370973,9198437533379370973,6353016425681061,9198437533379370975,9198437533379370975,6353016425681061,6353016425681061,
7.600000e-01,9198074846771991036,9198074846771991036,6327110239439637,9198074846771991036,9198074846771991036,6327110239439637,6327110239439637,
7.700000e-01,9197716901301933332,9197716901301933332,6301542705864087,9197716901301933333,9197716901301933333,6301542705864087,6301542705864087,
7.800000e-01,9197363574612106899,9197363574612106899,6276305085162199,9197363574612106899,9197363574612106899,6276305085162199,6276305085162199,
7.900000e-01,9197014749021745874,9197014749021745874,6251388971564983,9197014749021745875,9197014749021745875,6251388971564983,6251388971564983,
8.000000e-01,9196670311291106789,9196670311291106789,6226786276519333,9196670311291106789,9196670311291106789,6226786276519333,6226786276519333,
8.100000e-01,9196330152400782083,9196330152400782083,6202489212924711,9196330152400782084,9196330152400782084,6202489212924711,6202489212924711,
8.200000e-01,9195994167344553738,9195994167344553738,6178490280336973,9195994167344553738,9195994167344553738,6178490280336973,6178490280336973,
8.300000e-01,9195662254934802176,9195662254934802176,6154782251069003,9195662254934802176,9195662254934802176,6154782251069003,6154782251069003,
8.400000e-01,9195334317619568179,9195334317619568179,6131358157123719,9195334317619568180,9195334317619568180,6131358157123719,6131358157123719,
8.500000e-01,9195010261310440339,9195010261310440339,6108211277900302,9195010261310440340,9195010261310440340,6108211277900301,6108211277900301,
8.600000e-01,9194689995220508275,9194689995220508275,6085335128619439,9194689995220508276,9194689995220508276,6085335128619439,6085335128619439,
8.700000e-01,9194227929226230917,9194227929226230917,6062723449417659,9194227929226230918,9194227929226230918,6062723449417659,6062723449417659,
8.800000e-01,9193557331595647742,9193557331595647742,6040370195064887,9193557331595647743,9193557331595647743,6040370195064887,6040370195064887,
8.900000e-01,9192894311501590375,9192894311501590375,6018269525262975,9192894311501590377,9192894311501590377,6018269525262975,6018269525262975,
9.000000e-01,9192238699608288519,9192238699608288519,5996415795486245,9192238699608288519,9192238699608288519,5996415795486246,5996415795486246,
9.100000e-01,9191590332193544669,9191590332193544669,5974803548328118,9191590332193544670,9191590332193544670,5974803548328118,5974803548328118,
9.200000e-01,9190949050903319553,9190949050903319553,5953427505320613,9190949050903319554,9190949050903319554,5953427505320614,5953427505320614,
9.300000e-01,9190314702519583989,9190314702519583989,5932282559196095,9190314702519583990,9190314702519583990,5932282559196094,5932282559196094,
9.400000e-01,9189056223545696688,9189056223545696688,5911363766562823,9189056223545696689,9189056223545696689,5911363766562823,5911363766562823,
9.500000e-01,9187772983158822855,9187772983158822855,5890666340968083,9187772983158822856,9187772983158822856,5890666340968083,5890666340968083,
9.600000e-01,9186503180090921823,9186503180090921823,5870185646324519,9186503180090921824,9186503180090921824,5870185646324519,5870185646324519,
9.700000e-01,9184555724221685065,9184555724221685065,5849917190677079,9184555724221685065,9184555724221685065,5849917190677079,5849917190677079,
9.800000e-01,9182028092352867562,9182028092352867562,5829856620289638,9182028092352867563,9182028092352867563,5829856620289638,5829856620289638,
9.900000e-01,9177538661542963880,9177538661542963880,5809999714031799,9177538661542963881,9177538661542963881,5809999714031799,5809999714031799,
1.000000e+00,4605895676049340123,4605895676049340123,5790342378047781,4605895676049340123,4605895676049340123,5790342378047781,5790342378047781,
