x,openlibm,matlab,crlibm,intel-mkl,
0.000000e+00,0,632581974947240,632581974947240,632581974947240,
0.000000e+00,0,723686364756146,723686364756146,723686364756146,
0.000000e+00,0,815090514393060,815090514393060,815090514393060,
0.000000e+00,0,906835457039431,906835457039431,906835457039431,
0.000000e+00,0,998963566674747,998963566674747,998963566674747,
0.000000e+00,0,1091518756426408,1091518756426408,1091518756426408,
0.000000e+00,0,1184546695008747,1184546695008747,1184546695008747,
0.000000e+00,0,1278095044480567,1278095044480567,1278095044480567,
0.000000e+00,0,1372213723086272,1372213723086272,1372213723086272,
0.000000e+00,0,1466955197603679,1466955197603679,1466955197603679,
0.000000e+00,0,1562374810431854,1562374810431854,1562374810431854,
0.000000e+00,0,1658531147653770,1658531147653770,1658531147653770,
0.000000e+00,0,1755486455551880,1755486455551880,1755486455551880,
0.000000e+00,0,1853307114606221,1853307114606221,1853307114606221,
0.000000e+00,0,1952064181952223,1952064181952223,1952064181952223,
0.000000e+00,0,2051834015735922,2051834015735922,2051834015735922,
0.000000e+00,0,2152698997934840,2152698997934840,2152698997934840,
0.000000e+00,0,2254748376226586,2254748376226586,2254748376226586,
0.000000e+00,0,2358079250676146,2358079250676146,2358079250676147,
0.000000e+00,0,2462797737781455,2462797737781455,2462797737781455,
0.000000e+00,0,2569020353331791,2569020353331791,2569020353331791,
0.000000e+00,0,2783113210140252,2783113210140252,2783113210140252,
0.000000e+00,0,3002374476852026,3002374476852026,3002374476852026,
0.000000e+00,0,3225504582889930,3225504582889930,3225504582889930,
0.000000e+00,0,3452860653239936,3452860653239936,3452860653239936,
0.000000e+00,0,3684846135912484,3684846135912484,3684846135912484,
0.000000e+00,0,3921920081054454,3921920081054454,3921920081054454,
0.000000e+00,0,4164608920974052,4164608920974052,4164608920974052,
0.000000e+00,0,4413521628942461,4413521628942461,4413521628942461,
0.000000e+00,0,4669369523394724,4669369523394724,4669369523394725,
0.000000e+00,0,4932992586143757,4932992586143757,4932992586143757,
0.000000e+00,0,5205395121518275,5205395121518275,5205395121518275,
0.000000e+00,0,5487795157576500,5487795157576500,5487795157576500,
0.000000e+00,0,5781694671851064,5781694671851064,5781694671851064,
0.000000e+00,0,6088982487053850,6088982487053850,6088982487053850,
0.000000e+00,0,6412090572655028,6412090572655028,6412090572655028,
0.000000e+00,0,6754242097764447,6754242097764447,6754242097764447,
0.000000e+00,0,7165496418922240,7165496418922240,7165496418922240,
0.000000e+00,0,7956460280610436,7956460280610436,7956460280610436,
0.000000e+00,0,8826753350453976,8826753350453976,8826753350453976,
0.000000e+00,0,9809435552097530,9809435552097530,9809435552097530,
0.000000e+00,0,10969056828847161,10969056828847161,10969056828847161,
0.000000e+00,0,13367213264254097,13367213264254097,13367213264254097,
0.000000e+00,0,4609753056924675352,4609753056924675352,4609753056924675352,
