-0X1.999999999999AP-1,0X1.3333333333334P-1,-0X1.DAC670561BB5P-1,0X1.8P+3
-0X1.3333333333333P-1,0X1.3333333333334P-1,-0X1.921FB54442D18P-1,0X1.AP+3
-0X1.9999999999998P-2,0X1.3333333333334P-1,-0X1.2D0EAD6066394P-1,0X1.6P+3
-0X1.9999999999998P-3,0X1.3333333333334P-1,-0X1.4978FA3269EEP-2,0X1.4P+3
0X0P+0,0X1.3333333333334P-1,0X0P+0,0X1P+0
0X1.99999999999AP-3,0X1.3333333333334P-1,0X1.4978FA3269EE5P-2,0X1.4P+3
0X1.999999999999CP-2,0X1.3333333333334P-1,0X1.2D0EAD6066396P-1,0X1P+3
0X1.3333333333334P-1,0X1.3333333333334P-1,0X1.921FB54442D18P-1,0X0P+0
0X1.999999999999AP-1,0X1.3333333333334P-1,0X1.DAC670561BB4FP-1,0X1.8P+3
0X1P+0,0X1.3333333333334P-1,0X1.07C6C6947A6A7P+0,0X1.6P+3
-0X1P+0,0X1.999999999999AP-1,-0X1.CAC7C57846F9FP-1,0X1.5P+4
-0X1.999999999999AP-1,0X1.999999999999AP-1,-0X1.921FB54442D19P-1,0X1P+0
-0X1.3333333333333P-1,0X1.999999999999AP-1,-0X1.4978FA3269EE1P-1,0X1.8P+3
-0X1.9999999999998P-2,0X1.999999999999AP-1,-0X1.DAC670561BB4EP-2,0X1.6P+3
-0X1.9999999999998P-3,0X1.999999999999AP-1,-0X1.F5B75F92C80DCP-3,0X1.4P+3
0X0P+0,0X1.999999999999AP-1,0X0P+0,0X0P+0
0X1.99999999999AP-3,0X1.999999999999AP-1,0X1.F5B75F92C80E4P-3,0X1.4P+2
0X1.999999999999CP-2,0X1.999999999999AP-1,0X1.DAC670561BB51P-2,0X1.CP+3
0X1.3333333333334P-1,0X1.999999999999AP-1,0X1.4978FA3269EE1P-1,0X1.AP+3
0X1.999999999999AP-1,0X1.999999999999AP-1,0X1.921FB54442D18P-1,0X1P+0
0X1P+0,0X1.999999999999AP-1,0X1.CAC7C57846F9EP-1,0X1.AP+3
-0X1P+0,0X1P+0,-0X1.921FB54442D19P-1,0X1P+0
-0X1.999999999999AP-1,0X1P+0,-0X1.5977A5103EA93P-1,0X1.8P+3
-0X1.3333333333333P-1,0X1P+0,-0X1.14B1DD5F90CE1P-1,0X1.6P+3
-0X1.9999999999998P-2,0X1P+0,-0X1.85A376B677DBFP-2,0X1.EP+3
-0X1.9999999999998P-3,0X1P+0,-0X1.94441F8F7260AP-3,0X1P+3
0X0P+0,0X1P+0,0X0P+0,0X0P+0
0X1.99999999999AP-3,0X1P+0,0X1.94441F8F72611P-3,0X1.2P+3
0X1.999999999999CP-2,0X1P+0,0X1.85A376B677DC1P-2,0X1.2P+3
0X1.3333333333334P-1,0X1P+0,0X1.14B1DD5F90CE1P-1,0X1.6P+3
0X1.999999999999AP-1,0X1P+0,0X1.5977A5103EA92P-1,0X1.8P+3
0X1P+0,0X1P+0,0X1.921FB54442D18P-1,0X1P+0
