0X0P+0,-INF
0X1.3D70A3D70A3D6P+1023,0X1.62A6FFA8B1EFEP+9
0X1.428F5C28F5C28P+1023,0X1.62A90BF549575P+9
0X1.47AE147AE147AP+1023,0X1.62AB10001469BP+9
0X1.4CCCCCCCCCCCCP+1023,0X1.62AD0C0A9F797P+9
0X1.51EB851EB851EP+1023,0X1.62AF00537638CP+9
0X1.570A3D70A3D7P+1023,0X1.62B0ED1651F67P+9
0X1.5C28F5C28F5C2P+1023,0X1.62B2D28C446E1P+9
0X1.6147AE147AE14P+1023,0X1.62B4B0EBDF77AP+9
0X1.6666666666665P+1023,0X1.62B6886959DC7P+9
0X1.6B851EB851EB7P+1023,0X1.62B85936B18F2P+9
0X1.70A3D70A3D709P+1023,0X1.62BA2383CB7F3P+9
0X1.75C28F5C28F5BP+1023,0X1.62BBE77E913A4P+9
0X1.7AE147AE147ADP+1023,0X1.62BDA5530C89BP+9
0X1.7FFFFFFFFFFFFP+1023,0X1.62BF5D2B81353P+9
0X1.851EB851EB851P+1023,0X1.62C10F3085115P+9
0X1.8A3D70A3D70A3P+1023,0X1.62C2BB89167A9P+9
0X1.8F5C28F5C28F5P+1023,0X1.62C4625AB15E1P+9
0X1.947AE147AE147P+1023,0X1.62C603C962EA7P+9
0X1.9999999999998P+1023,0X1.62C79FF7DC045P+9
0X1.9EB851EB851EAP+1023,0X1.62C937078294BP+9
0X1.A3D70A3D70A3CP+1023,0X1.62CAC91881C7FP+9
0X1.A8F5C28F5C28EP+1023,0X1.62CC5649D950EP+9
0X1.AE147AE147AEP+1023,0X1.62CDDEB96BC1P+9
0X1.B333333333332P+1023,0X1.62CF62840C08BP+9
0X1.B851EB851EB84P+1023,0X1.62D0E1C58A2BFP+9
0X1.BD70A3D70A3D6P+1023,0X1.62D25C98BF3C4P+9
0X1.C28F5C28F5C28P+1023,0X1.62D3D31798A27P+9
0X1.C7AE147AE147AP+1023,0X1.62D5455B22C5AP+9
0X1.CCCCCCCCCCCCCP+1023,0X1.62D6B37B9319DP+9
0X1.D1EB851EB851DP+1023,0X1.62D81D90519FEP+9
0X1.D70A3D70A3D6FP+1023,0X1.62D983B001E15P+9
0X1.DC28F5C28F5C1P+1023,0X1.62DAE5F08B6F1P+9
0X1.E147AE147AE13P+1023,0X1.62DC446721EC4P+9
0X1.E666666666665P+1023,0X1.62DD9F284CABEP+9
0X1.EB851EB851EB7P+1023,0X1.62DEF647EDE8EP+9
0X1.F0A3D70A3D709P+1023,0X1.62E049D9499DCP+9
0X1.F5C28F5C28F5BP+1023,0X1.62E199EF0C02DP+9
0X1.FAE147AE147ADP+1023,0X1.62E2E69B4FB7FP+9
0X1.FFFFFFFFFFFFFP+1023,0X1.62E42FEFA39EFP+9
INF,INF
-INF,-NAN
0X1.E392010175EE6P-74,-0X1.95414621954FEP+5
