x,openlibm,matlab,maple,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
8.200000e-01,0,0,307287815202790,1,1,0,0,4606834840156988211,307287815202787,
8.400000e-01,0,0,323108085601184,0,0,0,0,4607157948242589388,323108085601177,
8.600000e-01,0,0,183311041268720,1,1,0,0,4607341259283858108,183311041268720,
8.800000e-01,0,0,182812493855487,0,0,0,0,4607524071777713554,182812493855446,
9.000000e-01,0,0,197740965422055,0,0,0,0,4607721812743135603,197740965422049,
9.200000e-01,0,0,217573267460905,0,0,0,0,4607939386010596488,217573267460885,
9.400000e-01,0,0,245670550410911,1,1,0,0,4608185056561007377,245670550410889,
9.600000e-01,0,1,289905319187433,1,1,0,0,4608474961880194785,289905319187408,
9.800000e-01,0,0,375867123244877,0,0,0,0,4608850829003439623,375867123244839,
1.000000e+00,0,0,902227921235760,0,0,0,0,4609753056924675352,902227921235729,
