0X1.A23574D659F8CP+0,-0X1.FCA01C82269ADP+3,0X1P+2
0X1.B24B3468711FCP+0,-0X1.FA9CB6E35D3DP+2,0X1.8P+1
0X1.C260F3FA8847P+0,-0X1.4F7FEF9020967P+2,0X1.8P+1
0X1.D276B38C9F6EP+0,-0X1.F286EF12206F6P+1,0X1P+2
0X1.E28C731EB695P+0,-0X1.89F188BDCD7B1P+1,0X1.8P+1
0X1.F2A232B0CDBC4P+0,-0X1.434A8548A6897P+1,0X1P+2
0X1.015BF9217271AP+1,-0X1.10038B6C16142P+1,0X1.8P+3
0X1.0966D8EA7E054P+1,-0X1.D1A98A9CB78DFP+0,0X1.8P+2
0X1.1171B8B38998CP+1,-0X1.936436354EADEP+0,0X1.4P+2
0X1.197C987C952C6P+1,-0X1.605A90C73AB6FP+0,0X1.4P+2
0X1.21877845A0BFEP+1,-0X1.35736A5CAA0B9P+0,0X1.8P+2
0X1.2992580EAC536P+1,-0X1.109CC06BF8E46P+0,0X1.4P+2
0X1.319D37D7B7E7P+1,-0X1.E0CCCCFEC5994P-1,0X1.4P+2
0X1.39A817A0C37A8P+1,-0X1.A7903041B33B1P-1,0X1.8P+2
0X1.41B2F769CF0E2P+1,-0X1.73FD61D9DF539P-1,0X1.4P+2
0X1.49BDD732DAA1AP+1,-0X1.44ECD210B9A7AP-1,0X1.4P+2
0X1.51C8B6FBE6352P+1,-0X1.19797117FBCD7P-1,0X1.4P+2
0X1.59D396C4F1C8CP+1,-0X1.E1DB9A59E3B38P-2,0X1.4P+2
0X1.61DE768DFD5C4P+1,-0X1.956E26E56D2BBP-2,0X1.4P+2
0X1.69E9565708EFEP+1,-0X1.4CB7BFB4961AP-2,0X1.4P+2
0X1.71F4362014836P+1,-0X1.06EB23AB470A5P-2,0X1.4P+2
0X1.79FF15E92016EP+1,-0X1.86AD48EF41B8CP-3,0X1.4P+2
0X1.8209F5B22BAA8P+1,-0X1.02B8FA2799AE4P-3,0X1P+3
0X1.8A14D57B373EP+1,-0X1.01B2CF64B0BACP-4,0X1.CP+2
0X1.921FB54442D1AP+1,0X1.B9676733AE8FEP-51,0X1.7P+4
