x,newlib,openlibm,matlab,mpfr64,mpfr128,intel-mkl,
2.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
2.100000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
2.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+00,0.000000e+00,1.797693e+308,
2.300000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
2.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
2.500000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
2.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+00,0.000000e+00,1.797693e+308,
2.700000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
2.800000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
2.900000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
3.000000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
3.100000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+00,1.000000e+00,1.797693e+308,
3.200000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
3.300000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
3.400000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,0.000000e+00,1.797693e+308,
3.500000e-01,0.000000e+00,0.000000e+00,3.147016e-317,0.000000e+00,1.000000e+00,1.797693e+308,
3.600000e-01,0.000000e+00,0.000000e+00,3.147016e-317,1.000000e+00,0.000000e+00,1.797693e+308,
