0X1.61DE768DFD5C4P-2,0X1.5ADE1D05796DDP-2
0X1.71F4362014838P-2,0X1.69F54F37F664DP-2
0X1.8209F5B22BAA8P-2,0X1.78F5A48A8A91AP-2
0X1.921FB54442D18P-2,0X1.87DE2A6AEA963P-2
0X1.A23574D659F8CP-2,0X1.96ADEFC7CE9C4P-2
0X1.B24B3468711FCP-2,0X1.A56405202C663P-2
0X1.C260F3FA8847P-2,0X1.B3FF7C925819EP-2
0X1.D276B38C9F6EP-2,0X1.C27F69EB0ACC4P-2
0X1.E28C731EB695P-2,0X1.D0E2E2B44DEP-2
0X1.F2A232B0CDBC4P-2,0X1.DF28FE444A42P-2
0X1.015BF9217271AP-1,0X1.ED50D5CBFA952P-2
0X1.0966D8EA7E054P-1,0X1.FB598465BF625P-2
0X1.1171B8B38998CP-1,0X1.04A11391EA2E4P-1
0X1.197C987C952C6P-1,0X1.0B84EE8F52E9EP-1
0X1.21877845A0BFEP-1,0X1.1257E3C182B51P-1
0X1.2992580EAC536P-1,0X1.191984D01E95CP-1
0X1.319D37D7B7E7P-1,0X1.1FC9647B000EBP-1
0X1.39A817A0C37A8P-1,0X1.266716A11BB57P-1
0X1.41B2F769CF0E2P-1,0X1.2CF2304755A5FP-1
0X1.49BDD732DAA1AP-1,0X1.336A479F43642P-1
0X1.51C8B6FBE6352P-1,0X1.39CEF40DDAC0BP-1
0X1.59D396C4F1C8CP-1,0X1.401FCE320D52BP-1
0X1.61DE768DFD5C4P-1,0X1.465C6FEB501BCP-1
0X1.69E9565708EFEP-1,0X1.4C8474600EEEFP-1
0X1.71F4362014836P-1,0X1.529778040B2EDP-1
0X1.79FF15E92016EP-1,0X1.5895189EA57FP-1
0X1.8209F5B22BAA8P-1,0X1.5E7CF55112015P-1
0X1.8A14D57B373EP-1,0X1.644EAE9C76BA6P-1
0X1.921FB54442D1AP-1,0X1.6A09E667F3BCEP-1
