-0X1.1EB851EB851ECP-2,0X1.70A3D70A3D70AP-1,0X0P+0
-0X1.0A3D70A3D70A4P-2,0X1.7AE147AE147AEP-1,0X0P+0
-0X1.EB851EB851EB8P-3,0X1.92C0E311CE7A9P+0,0X0P+0
-0X1.C28F5C28F5C28P-3,0X1.9AE3B00059209P+0,0X1P+0
-0X1.9999999999998P-3,0X1.999999999999AP-1,0X0P+0
-0X1.70A3D70A3D708P-3,0X1.ABA87000AB391P+0,0X1P+0
-0X1.47AE147AE147CP-3,0X1.B44C20D132E5P+0,0X0P+0
-0X1.1EB851EB851ECP-3,0X1.B851EB851EB85P-1,0X0P+0
-0X1.EB851EB851EB8P-4,0X1.C61A6000B55D8P+0,0X0P+0
-0X1.9999999999998P-4,0X1.CCCCCCCCCCCCDP-1,0X0P+0
-0X1.47AE147AE1478P-4,0X1.D8A2B4AB44686P+0,0X0P+0
-0X1.EB851EB851EBP-5,0X1.E22EF5FF8DD87P+0,0X0P+0
-0X1.47AE147AE148P-5,0X1.EBEC97E700B8DP-1,0X0P+0
-0X1.47AE147AE148P-6,0X1.F5DCA000DEC5BP-1,0X0P+0
0X0P+0,0X1P+0,0X0P+0
0X1.47AE147AE148P-6,0X1.052BE000C0132P+0,0X0P+0
0X1.47AE147AE148P-5,0X1.0A72932C7B125P+0,0X0P+0
0X1.EB851EB851ECP-5,0X1.0FD485191C228P+0,0X1P+0
0X1.47AE147AE148P-4,0X1.15524000D7FBDP+0,0X1P+0
0X1.99999999999AP-4,0X1.199999999999AP+0,0X0P+0
0X1.EB851EB851ECP-4,0X1.20A3A237E05ACP+0,0X1P+0
0X1.1EB851EB851FP-3,0X1.23D70A3D70A3EP+0,0X0P+0
0X1.47AE147AE1478P-3,0X1.2C6B355C69096P+0,0X0P+0
0X1.70A3D70A3D708P-3,0X1.327CC64CCFC08P+0,0X1P+0
0X1.9999999999998P-3,0X1.3333333333333P+0,0X0P+0
0X1.C28F5C28F5C28P-3,0X1.3EFEE2762DED6P+0,0X0P+0
0X1.EB851EB851EB8P-3,0X1.45709595B2BEAP+0,0X1P+0
0X1.0A3D70A3D70A4P-2,0X1.428F5C28F5C29P+0,0X0P+0
0X1.1EB851EB851ECP-2,0X1.47AE147AE147BP+0,0X0P+0
0X1.3333333333334P-2,0X1.4CCCCCCCCCCCDP+0,0X0P+0
0X1.47AE147AE147CP-2,0X1.608B71F63C8D5P+0,0X0P+0
0X1.5C28F5C28F5C4P-2,0X1.67AAA532108BEP+0,0X0P+0
0X1.70A3D70A3D70CP-2,0X1.6EEEA000EE76P+0,0X0P+0
0X1.851EB851EB854P-2,0X1.6147AE147AE15P+0,0X0P+0
0X1.999999999999CP-2,0X1.6666666666667P+0,0X0P+0
0X1.AE147AE147AEP-2,0X1.6B851EB851EB8P+0,0X0P+0
0X1.C28F5C28F5C28P-2,0X1.8D7E3000C4F1CP+0,0X0P+0
0X1.D70A3D70A3D7P-2,0X1.9585D000FEE5DP+0,0X0P+0
0X1.EB851EB851EB8P-2,0X1.9DB71000523CP+0,0X0P+0
0X1P-1,0X1.8P+0,0X0P+0
0X1.0A3D70A3D70A4P-1,0X1.851EB851EB852P+0,0X0P+0
0X1.147AE147AE148P-1,0X1.8A3D70A3D70A4P+0,0X0P+0
0X1.1EB851EB851ECP-1,0X1.8F5C28F5C28F6P+0,0X1P+0
0X1.28F5C28F5C29P-1,0X1.947AE147AE148P+0,0X0P+0
0X1.3333333333334P-1,0X1.999999999999AP+0,0X0P+0
0X1.3D70A3D70A3D8P-1,0X1.9EB851EB851ECP+0,0X0P+0
0X1.47AE147AE147CP-1,0X1.E57FC55A1AA5BP+0,0X0P+0
0X1.51EB851EB852P-1,0X1.EF4E8000CEE7AP+0,0X1P+0
0X1.5C28F5C28F5C2P-1,0X1.F95000003B7FBP-1,0X1P+0
