x,newlib,openlibm,matlab,mpfr64,mpfr128,crlibm,intel-mkl,libmcr,mathematica,
0.21999999999999997335,123136785797541,123136785797541,123136785797541,123136785797541,123136785797541,123136785797541,123136785797541,123136785797541,985094286380337,
0.23999999999999999112,12596277792686,12596277792686,12596277792686,12596277792685,12596277792685,12596277792686,12596277792686,12596277792686,100770222341478,
0.26000000000000000888,12850739483447,12850739483447,12850739483447,12850739483447,12850739483447,12850739483447,12850739483447,12850739483447,102805915867570,
0.28000000000000002665,13110341641347,13110341641347,13110341641348,13110341641347,13110341641347,13110341641347,13110341641347,13110341641347,104882733130773,
0.30000000000000004441,13375188110711,13375188110711,13375188110711,13375188110710,13375188110710,13375188110711,13375188110711,13375188110711,107001504885684,
0.32000000000000006217,13645384833656,13645384833656,13645384833656,13645384833655,13645384833655,13645384833656,13645384833656,13645384833656,109163078669255,
0.34000000000000007994,13921039892477,13921039892477,13921039892477,13921039892476,13921039892476,13921039892477,13921039892477,13921039892477,111368319139820,
0.36000000000000009770,14202263552871,14202263552871,14202263552871,14202263552871,14202263552871,14202263552871,14202263552871,14202263552871,113618108422971,
0.38000000000000011546,14489168308053,14489168308053,14489168308053,14489168308053,14489168308053,14489168308053,14489168308053,14489168308053,115913346464420,
0.40000000000000013323,14781868923749,14781868923749,14781868923749,14781868923748,14781868923748,14781868923749,14781868923749,14781868923749,118254951389987,
0.41999999999999992895,15080482484109,15080482484109,15080482484109,15080482484109,15080482484109,15080482484109,15080482484109,15080482484109,120643859872861,
0.43999999999999994671,15385128438537,15385128438537,15385128438537,15385128438536,15385128438536,15385128438537,15385128438537,15385128438537,123081027508296,
0.45999999999999996447,15695928649478,15695928649478,15695928649477,15695928649477,15695928649477,15695928649478,15695928649478,15695928649478,125567429195835,
0.47999999999999998224,16013007441163,16013007441163,16013007441163,16013007441162,16013007441162,16013007441163,16013007441163,16013007441163,128104059529304,
0.50000000000000000000,16336491649333,16336491649333,16336491649333,16336491649332,16336491649332,16336491649333,16336491649333,16336491649333,130691933194663,
0.52000000000000001776,16666510671985,16666510671985,16666510671985,16666510671984,16666510671984,16666510671985,16666510671985,16666510671985,133332085375883,
0.54000000000000003553,17003196521130,17003196521130,17003196521130,17003196521129,17003196521129,17003196521130,17003196521130,17003196521130,136025572169037,
0.56000000000000005329,17346683875595,17346683875595,17346683875595,17346683875594,17346683875594,17346683875595,17346683875595,17346683875595,138773471004758,
0.58000000000000007105,17697110134902,17697110134902,17697110134902,17697110134902,17697110134902,17697110134902,17697110134902,17697110134902,141576881079218,
0.60000000000000008882,18054615474228,18054615474228,18054615474228,18054615474228,18054615474228,18054615474228,18054615474228,18054615474228,144436923793828,
